win,lose,probability,,,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Wteam,Agree,sum,total,accuracy
Brooklyn Nets,Golden State Warriors,0.70788345,,,,Golden State Warriors,99,Brooklyn Nets,125,,Brooklyn Nets,1,241,425,0.567058824
Los Angeles Lakers,Los Angeles Clippers,0.558645129,,,,Los Angeles Clippers,116,Los Angeles Lakers,109,,Los Angeles Clippers,0,,,
Charlotte Hornets,Cleveland Cavaliers,0.713793561,,,,Charlotte Hornets,114,Cleveland Cavaliers,121,,Cleveland Cavaliers,0,,,
Indiana Pacers,New York Knicks,0.692242362,,,,New York Knicks,107,Indiana Pacers,121,,Indiana Pacers,1,,,
Miami Heat,Orlando Magic,0.79245431,,,,Miami Heat,107,Orlando Magic,113,,Orlando Magic,0,,,
Philadelphia 76ers,Washington Wizards,0.760133647,,,,Washington Wizards,107,Philadelphia 76ers,113,,Philadelphia 76ers,1,,,
Toronto Raptors,New Orleans Pelicans,0.787253946,,,,New Orleans Pelicans,113,Toronto Raptors,99,,New Orleans Pelicans,0,,,
Boston Celtics,Milwaukee Bucks,0.510290261,,,,Milwaukee Bucks,121,Boston Celtics,122,,Boston Celtics,1,,,
Chicago Bulls,Atlanta Hawks,0.500519037,,,,Atlanta Hawks,124,Chicago Bulls,104,,Atlanta Hawks,0,,,
San Antonio Spurs,Memphis Grizzlies,0.700459209,,,,San Antonio Spurs,131,Memphis Grizzlies,119,,San Antonio Spurs,1,,,
Detroit Pistons,Minnesota Timberwolves,0.593266397,,,,Detroit Pistons,101,Minnesota Timberwolves,111,,Minnesota Timberwolves,0,,,
Denver Nuggets,Sacramento Kings,0.674251825,,,,Sacramento Kings,124,Denver Nuggets,122,,Sacramento Kings,0,,,
Utah Jazz,Portland Trail Blazers,0.593376801,,,,Utah Jazz,120,Portland Trail Blazers,100,,Utah Jazz,1,,,
Dallas Mavericks,Phoenix Suns,0.656692133,,,,Dallas Mavericks,102,Phoenix Suns,106,,Phoenix Suns,0,,,
Miami Heat,New Orleans Pelicans,0.763315499,,,,New Orleans Pelicans,98,Miami Heat,111,,Miami Heat,1,,,
Milwaukee Bucks,Golden State Warriors,0.859214781,,,,Golden State Warriors,99,Milwaukee Bucks,138,,Milwaukee Bucks,1,,,
Boston Celtics,Brooklyn Nets,0.687833444,,,,Brooklyn Nets,123,Boston Celtics,95,,Brooklyn Nets,0,,,
Los Angeles Lakers,Dallas Mavericks,0.647927057,,,,Dallas Mavericks,115,Los Angeles Lakers,138,,Los Angeles Lakers,1,,,
Los Angeles Clippers,Denver Nuggets,0.531853132,,,,Los Angeles Clippers,121,Denver Nuggets,108,,Los Angeles Clippers,1,,,
Memphis Grizzlies,Atlanta Hawks,0.659488904,,,,Atlanta Hawks,122,Memphis Grizzlies,112,,Atlanta Hawks,0,,,
Oklahoma City Thunder,Charlotte Hornets,0.776240126,,,,Oklahoma City Thunder,109,Charlotte Hornets,107,,Oklahoma City Thunder,1,,,
Cleveland Cavaliers,Detroit Pistons,0.575606529,,,,Cleveland Cavaliers,128,Detroit Pistons,119,,Cleveland Cavaliers,1,,,
Orlando Magic,Washington Wizards,0.728328008,,,,Orlando Magic,130,Washington Wizards,120,,Orlando Magic,1,,,
