Vteam,Hteam
Golden State Warriors,Brooklyn Nets
Los Angeles Clippers,Los Angeles Lakers
Charlotte Hornets,Cleveland Cavaliers
New York Knicks,Indiana Pacers
Miami Heat,Orlando Magic
Washington Wizards,Philadelphia 76ers
New Orleans Pelicans,Toronto Raptors
Milwaukee Bucks,Boston Celtics
Atlanta Hawks,Chicago Bulls
San Antonio Spurs,Memphis Grizzlies
Detroit Pistons,Minnesota Timberwolves
Sacramento Kings,Denver Nuggets
Utah Jazz,Portland Trail Blazers
Dallas Mavericks,Phoenix Suns
New Orleans Pelicans,Miami Heat
Golden State Warriors,Milwaukee Bucks
Brooklyn Nets,Boston Celtics
Dallas Mavericks,Los Angeles Lakers
Los Angeles Clippers,Denver Nuggets
Atlanta Hawks,Memphis Grizzlies
Oklahoma City Thunder,Charlotte Hornets
Cleveland Cavaliers,Detroit Pistons
Orlando Magic,Washington Wizards
Philadelphia 76ers,New York Knicks
Indiana Pacers,Chicago Bulls
Toronto Raptors,San Antonio Spurs
Minnesota Timberwolves,Utah Jazz
Houston Rockets,Portland Trail Blazers
Phoenix Suns,Sacramento Kings
Dallas Mavericks,Los Angeles Clippers
San Antonio Spurs,New Orleans Pelicans
Orlando Magic,Washington Wizards
Brooklyn Nets,Charlotte Hornets
Philadelphia 76ers,Cleveland Cavaliers
Milwaukee Bucks,New York Knicks
Boston Celtics,Indiana Pacers
Golden State Warriors,Chicago Bulls
Phoenix Suns,Sacramento Kings
Minnesota Timberwolves,Los Angeles Lakers
Memphis Grizzlies,Brooklyn Nets
Detroit Pistons,Atlanta Hawks
Utah Jazz,Oklahoma City Thunder
Houston Rockets,Denver Nuggets
Portland Trail Blazers,Los Angeles Lakers
New York Knicks,Cleveland Cavaliers
Golden State Warriors,Detroit Pistons
Boston Celtics,Indiana Pacers
Chicago Bulls,Washington Wizards
Toronto Raptors,Philadelphia 76ers
Milwaukee Bucks,Miami Heat
Orlando Magic,Oklahoma City Thunder
New Orleans Pelicans,Phoenix Suns
Denver Nuggets,Sacramento Kings
Minnesota Timberwolves,Los Angeles Clippers
Milwaukee Bucks,Miami Heat
Atlanta Hawks,Brooklyn Nets
Memphis Grizzlies,Boston Celtics
Charlotte Hornets,Dallas Mavericks
Los Angeles Lakers,San Antonio Spurs
Portland Trail Blazers,Los Angeles Clippers
Cleveland Cavaliers,Indiana Pacers
Chicago Bulls,Washington Wizards
Philadelphia 76ers,Orlando Magic
Sacramento Kings,Houston Rockets
New York Knicks,Toronto Raptors
New Orleans Pelicans,Oklahoma City Thunder
Phoenix Suns,Utah Jazz
Memphis Grizzlies,Charlotte Hornets
Miami Heat,Dallas Mavericks
Boston Celtics,Detroit Pistons
Atlanta Hawks,Brooklyn Nets
Chicago Bulls,Milwaukee Bucks
Washington Wizards,Minnesota Timberwolves
Los Angeles Lakers,San Antonio Spurs
Phoenix Suns,Denver Nuggets
Los Angeles Clippers,Utah Jazz
Portland Trail Blazers,Golden State Warriors
Sacramento Kings,Houston Rockets
New York Knicks,Indiana Pacers
Oklahoma City Thunder,Orlando Magic
Charlotte Hornets,Philadelphia 76ers
Cleveland Cavaliers,Atlanta Hawks
Toronto Raptors,New Orleans Pelicans
Boston Celtics,Detroit Pistons
Washington Wizards,Brooklyn Nets
